Location name,Amount spent (GTQ)
Alta Verapaz Department,2084
Baja Verapaz Department,816
Chimaltenango Department,2762
Chiquimula Department,1155
El Progreso Department,828
Escuintla Department,4429
Guatemala Department,38870
Huehuetenango Department,3307
Izabal Department,2564
Jalapa Department,1138
Jutiapa Department,2355
Petén Department,1727
Quetzaltenango Department,5328
Quiché Department,2044
Retalhuleu Department,1458
Sacatepéquez Department,3089
San Marcos Department,7428
Santa Rosa Department,1077
Sololá Department,1913
Suchitepéquez Department,2284
Totonicapán Department,1318
Unknown,≤100
Zacapa Department,751
