Location name,Amount spent (PLN)
Greater Poland Voivodeship,5738
Kuyavian-Pomeranian Voivodeship,3105
Lesser Poland Voivodeship,4424
Lower Silesian Voivodeship,4510
Lublin Voivodeship,2243
Lubusz Voivodeship,1282
Masovian Voivodeship,11235
Opole Voivodeship,1621
Podkarpackie Voivodeship,1991
Podlaskie Voivodeship,2286
Pomeranian Voivodeship,3106
Silesian Voivodeship,5704
Unknown,≤100
Warmian-Masurian Voivodeship,3271
West Pomeranian Voivodeship,2611
Łódź Voivodeship,5302
Świętokrzyskie Voivodeship,1438
