Location name,Amount spent (INR)
Andaman and Nicobar Islands,255
Andhra Pradesh,75121
Arunachal Pradesh,2167
Assam,18665
Bihar,47833
Chandigarh,3688
Chhattisgarh,30372
Dadra and Nagar Haveli,1208
Delhi,54229
Goa,2969
Gujarat,65030
Haryana,43093
Himachal Pradesh,19693
Jammu and Kashmir,14112
Jharkhand,18177
Karnataka,1062267
Kerala,21905
Lakshadweep,≤100
Madhya Pradesh,84225
Maharashtra,149921
Manipur,4674
Meghalaya,6501
Mizoram,1048
Nagaland,2209
Odisha,19919
Puducherry,1613
Punjab region,115566
Rajasthan,162960
Sikkim,939
Tamil Nadu,45194
Telangana,35693
Tripura,2602
Unknown,161
Uttar Pradesh,236773
Uttarakhand,14206
West Bengal,49050
