Location name,Amount spent (MXN)
Aguascalientes,23462
Baja California,60503
Baja California Sur,14450
Campeche,23609
Chiapas,68023
Chihuahua,62473
Coahuila de Zaragoza,45842
Colima,17866
Distrito Federal,285890
Durango,20104
Guanajuato,85917
Guerrero,32075
Hidalgo,32914
Jalisco,125667
Michoacán de Ocampo,61723
Morelos,42664
Nayarit,14535
Nuevo León,290326
Oaxaca,41210
Puebla,122113
Querétaro Arteaga,43180
Quintana Roo,54589
San Luis Potosi,35039
Sinaloa,29710
Sonora,42188
State of Mexico,137966
Tabasco,21545
Tamaulipas,47609
Tlaxcala,13523
Unknown,≤100
Veracruz,85956
Yucatán,55453
Zacatecas,16534
