Location name,Amount spent (PKR)
Azad Kashmir,1016
Balochistan,2502
Federally Administered Tribal Areas,246
Gilgit-Baltistan,460
Islamabad Capital Territory,3140
Khyber Pakhtunkhwa,8572
Punjab,45042
Sindh,14444
Unknown,≤100
