Location name,Amount spent (USD)
Azuay Province,2409
Bolívar Province,260
Carchi Province,196
Cañar Province,471
Chimborazo Province,750
Cotopaxi Province,577
El Oro Province,1765
Esmeraldas Province,821
Galápagos Province,≤100
Guayas Province,8427
Imbabura Province,824
Loja Province,1006
Los Ríos Province,1656
Manabí Province,3563
Morona-Santiago Province,313
Napo Province,203
Orellana Province,262
Pastaza Province,219
Pichincha Province,7501
Santa Elena Province,700
Santo Domingo de los Tsáchilas Province,1579
Sucumbíos Province,347
Tungurahua Province,1070
Unknown,≤100
Zamora-Chinchipe Province,224
