Location name,Amount spent (SEK)
Blekinge County,4809
Dalarna County,9596
Gotland County,2365
Gävleborg County,9742
Halland County,10494
Jämtland County,4752
Jönköping County,11477
Kalmar County,7267
Kronoberg County,6069
Norrbotten County,9083
Skåne County,48902
Stockholm County,80207
Södermanland County,10275
Unknown,≤100
Uppsala County,15699
Värmland County,9199
Västerbotten County,11039
Västernorrland County,7728
Västmanland County,8802
Västra Götaland County,58526
Örebro County,9908
Östergötland County,15423
