Location name,Amount spent (USD)
Azuay Province,1485
Bolívar Province,105
Carchi Province,103
Cañar Province,154
Chimborazo Province,346
Cotopaxi Province,195
El Oro Province,715
Esmeraldas Province,277
Galápagos Province,318
Guayas Province,3728
Imbabura Province,290
Loja Province,1221
Los Ríos Province,853
Manabí Province,1670
Morona-Santiago Province,131
Napo Province,≤100
Orellana Province,105
Pastaza Province,≤100
Pichincha Province,3139
Santa Elena Province,268
Santo Domingo de los Tsáchilas Province,1020
Sucumbíos Province,101
Tungurahua Province,560
Unknown,≤100
Zamora-Chinchipe Province,162
