Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),410774,4
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,229376,10
103527991214141,Cero DICOM,Cero Dicom,208259,8
105513119231933,Sur Informativo,Sur Informativo,190012,3
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,108947,12
1548643738480723,Asistencia Deudores,Asistencia Deudores,104080,2
115211516522502,Agenda Central,Agenda Central,93791,4
105798328215264,Asistencia Familia,Asistencia Familia,93507,6
558224964238853,Anglo American,Anglo American,85866,2
113838817025219,Coperiodistas,Coperiodistas,80765,11
172277313691851,Chile Liberal,Chile Liberal,77759,7
101022471358725,El orgullo de ser chileno,El orgullo de ser chileno,68139,7
580663538777736,Consejo Minero,Feedback Comunicaciones,54119,2
2257351691213562,Noticias que marcarán pauta,Noticias que marcarán pauta,51521,12
106037731330237,CentroAvance,Centro Avance,44659,5
117752777993026,Economía y Finanzas para Todos,Economía y Finanzas para Todos,42487,7
104189318481439,Minería y Futuro,Mineria y Futuro,36875,5
110835964029132,Var Constitucional,Var Constitucional,36723,9
572161723127136,Copsa Chile,COPSA Chile,35601,1
102019462029011,V más V,V más V,35569,2
200033693376679,Norte Verde,Inmobiliaria Norte Verde Spa,31544,5
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
416774431823741,Desarrolla Araucanía,Desarrolla Araucanía,28075,5
228557190541436,BancoEstado,BancoEstado,27748,5
671262362900569,Red de Salud UC CHRISTUS,These ads ran without a disclaimer,24049,1
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,20602,5
184559421980613,Vlado Mirosevic,Vlado Mirosevic,20041,3
468067587027621,Mineros al día,Mineros al día,16834,5
486113348433421,Ximena Ordenes Neira,Ximena Ordenes,15447,17
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,15300,10
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,13171,8
113924653318737,ICF,ICF,12145,3
109615570880157,Luciano Rivas Stepke,Luciano Rivas,11726,5
220236561437105,Fundación MERI,Fundación Caserta,10984,1
720580281356083,Atentos Chile,Atentos,10892,1
632687896928177,Oscar Crisóstomo,Oscar Crisóstomo,10436,6
78239901502,Diario Financiero,Grupo DF,8089,21
968772086505075,Gerardo Espíndola Rojas,Gerardo Espíndola Rojas,7767,1
300345197052910,Pablo Gutierrez Core,Pablo Gutierrez Core,7489,6
112414063439760,DeliBest Chile,Brecha Digital Consultores,7438,1
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,7215,2
113540781539326,Workmed,Workmed,7133,2
181189911970230,Alberto Undurraga V,Alberto Undurraga V,6872,1
102422525535808,FARMACIAS PUNTO BLANCO,FARMACIAS PUNTO BLANCO,6246,2
108523631002340,Loreta Villegas- Consejera Regional Aysen,Loreta Villegas- Consejera Regional Aysen,5659,5
