Location name,Amount spent (COP)
Amazonas,340
Antioquia,3796813
Arauca,37903
Atlantico,757307
Bolivar,243424
Boyaca,32949
Caldas,518984
Caqueta,59290
Casanare,16326
Cauca,162052
Cesar,36123
Choco,37772
Cordoba,163461
Cundinamarca,451517
Distrito Especial,3101679
Guainia,188
Guaviare,1669
Huila,163009
La Guajira,13169
Magdalena,92952
Meta,231579
Narino,64897
Norte de Santander,132734
Putumayo,62333
Quindio,66511
Risaralda,978593
San Andres y Providencia,1612
Santander,203199
Sucre,94199
Tolima,150430
Unknown,≤100
Valle del Cauca,2532576
Vaupes,108
Vichada,224
