Location name,Amount spent (JPY)
Aichi Prefecture,27261
Akita Prefecture,2621
Aomori Prefecture,3506
Chiba Prefecture,19546
Ehime Prefecture,4873
Fukui Prefecture,3117
Fukuoka Prefecture,46128
Fukushima Prefecture,6158
Gifu Prefecture,7977
Gunma Prefecture,5201
Hiroshima Prefecture,9854
Hokkaido,18498
Hyōgo Prefecture,17533
Ibaraki Prefecture,9215
Ishikawa Prefecture,3926
Iwate Prefecture,3726
Kagawa Prefecture,4234
Kagoshima Prefecture,5250
Kanagawa Prefecture,39589
Kumamoto Prefecture,8678
Kyoto Prefecture,11142
Kōchi Prefecture,2040
Mie Prefecture,6498
Miyagi Prefecture,12151
Miyazaki Prefecture,4517
Nagano Prefecture,7301
Nagasaki Prefecture,6344
Nara Prefecture,4162
Niigata Prefecture,6355
Okayama Prefecture,6717
Okinawa Prefecture,6923
Osaka Prefecture,23388
Saga Prefecture,4784
Saitama Prefecture,22956
Shiga Prefecture,5045
Shimane Prefecture,2433
Shizuoka Prefecture,13600
Tochigi Prefecture,5986
Tokushima Prefecture,2450
Tokyo,165197
Tottori Prefecture,1626
Toyama Prefecture,3383
Unknown,10963
Wakayama Prefecture,3288
Yamagata Prefecture,3102
Yamaguchi Prefecture,4794
Yamanashi Prefecture,2795
Ōita Prefecture,5617
