Location name,Amount spent (PKR)
Azad Kashmir,1109
Balochistan,2397
Federally Administered Tribal Areas,300
Gilgit-Baltistan,784
Islamabad Capital Territory,2820
Khyber Pakhtunkhwa,12568
Punjab,40939
Sindh,16587
Unknown,≤100
