Location name,Amount spent (PLN)
Greater Poland Voivodeship,3600
Kuyavian-Pomeranian Voivodeship,2321
Lesser Poland Voivodeship,2921
Lower Silesian Voivodeship,2841
Lublin Voivodeship,1509
Lubusz Voivodeship,897
Masovian Voivodeship,7832
Opole Voivodeship,519
Podkarpackie Voivodeship,1187
Podlaskie Voivodeship,1000
Pomeranian Voivodeship,2526
Silesian Voivodeship,3419
Unknown,≤100
Warmian-Masurian Voivodeship,947
West Pomeranian Voivodeship,1633
Łódź Voivodeship,2397
Świętokrzyskie Voivodeship,791
