Location name,Amount spent (PYG)
Alto Paraguay Department,116849
Alto Paraná Department,13347572
Amambay Department,1325211
Asunción,9556281
Boquerón department,463965
Caaguazú Department,5892493
Caazapá Department,1092981
Canindeyú Department,1386395
Central Department,24741814
Concepción Department (Paraguay),1598413
Cordillera Department,2583535
Guairá Department,1654157
Itapúa Department,5891329
Misiones Department,1422507
Paraguarí Department,1459874
Presidente Hayes Department,1044526
San Pedro Department,2357215
Unknown,1115
Ñeembucú Department,1081406
