Location name,Amount spent (CLP)
Antofagasta Region,175590
Araucanía Region,343499
Arica y Parinacota Region,87607
Atacama Region,69721
Aysén Region,45084
Bío Bío Region,745980
Coquimbo Region,227578
Los Lagos Region,359959
Los Ríos Region,114212
Magallanes y la Antártica Chilena Region,70712
Maule Region,309334
O'Higgins Region,223824
Santiago Metropolitan Region,3585296
Tarapacá Region,73556
Unknown,1581
Valparaíso Region,599203
