Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,371689,12
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,210325,2
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,169169,3
108233955496317,"Đề nghị công ty Shinro trả lương tháng 10,11,12 và bảo hiểm 12 tháng",These ads ran without a disclaimer,104609,3
919479674872321,Báo Nghệ An,Báo Nghệ An,57541,1
101865258169428,ĐEN Secondhand,ĐEN Secondhand,51849,2
199803143390683,Oxfam in Vietnam,Oxfam in Vietnam,45975,1
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,32715,1
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,25314,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,8963,2
101361739432825,0.618033988749,These ads ran without a disclaimer,538,1
1523501084543234,China Face,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
111967013731903,Goldwind,These ads ran without a disclaimer,≤100,1
100205232489461,Luis,These ads ran without a disclaimer,≤100,1
372634879599800,Olymp Trade,These ads ran without a disclaimer,≤100,1
125279958350,GIVE.asia,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,4
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
