Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
157912844276400,Governo da Bahia,Governo da Bahia,27861,20
1608447079411218,Portal Concursos,PORTAL CURSOS PREPARATORIOS E OAB LTDA,20785,252
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,11967,210
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,11517,23
301774903545521,Brasil Paralelo,Brasil Paralelo,9131,41
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,8384,83
132584057957,Skol,Ambev,5627,57
104625758942119,Siga Antenado,Siga Antenado,5374,57
286725714766033,Ministério da Cultura,These ads ran without a disclaimer,3233,10
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,2376,52
118558464851986,ACTbr,ACTbr,2317,6
857694684596864,Beck's Brasil,Ambev,2285,2
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,2198,2
250305668489402,Professor Kenny,These ads ran without a disclaimer,2116,89
333720355130,Petrobras,Petrobras,1956,15
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",1835,16
128850220504786,UNICEF Brasil,UNICEF Brasil,1730,93
2117844631766178,ABIA - Associação Brasileira da Indústria de Alimentos,ASSOCIACAO BRASILEIRA DA INDUSTRIA DE ALIMENTOS,1727,21
487358637978920,Governo do Tocantins,Governo do Tocantins,1715,8
286484764739596,Conselho de Arquitetura e Urbanismo do Brasil - CAU/BR,Triads,1703,10
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,1506,30
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,1399,115
330379553673497,Oxfam Brasil,Oxfam Brasil,1389,123
239665829565195,Cidade de São Paulo,Prefeitura da Cidade de São Paulo,1367,20
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,1344,30
112021296931600,Mônica Lopes,IBPOM,1308,126
263563620333111,Eduardo Braga,Eduardo Braga,1260,8
196638160529871,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,1242,59
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,1222,27
167035830067775,Prefeitura de Canoas,Prefeitura de Canoas,1106,4
159103797542,Greenpeace Brasil,Greenpeace Brasil,1011,133
104929198579247,O escobar Pro,O escobar Pro,947,48
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,893,5
251235795032635,Itamar Borges,Itamar Borges,883,14
169743843175117,Bruno Ganem SP,Bruno Ganem,841,32
198849783539777,Buscofem,Buscofem,835,2
92227023652,Governo do Estado de São Paulo,Governo do Estado de São Paulo,752,1
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,741,16
108015435927747,FAS - Fundação Amazônia Sustentável,Fundação Amazonia Sustentável,712,11
465235726843103,Ambev,Ambev,701,1
110092218261646,Edu Moreira,Edu Moreira,629,41
101189854802059,Revista Oeste,Revista Oeste,593,13
522126697963113,Carlos Jordy,Carlos Jordy,592,34
105903775544880,Alexandre Braga,Alexandre Braga,589,10
100731869738214,Notícia Brasil,These ads ran without a disclaimer,585,16
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan Deputada Estadual,579,41
142652206199393,Aliança Pela Alimentação Adequada e Saudável,Aliança Pela Alimentação Adequada e Saudável,554,4
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,552,2
110225312350543,Nova Escola,Associação Nova Escola,548,28
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,531,46
194395877379866,Saulo Souza,Saulo de Oliveira Souza,462,3
159103797542,Greenpeace Brasil,Greenpeace Brasil,454,28
483630874998954,Mauro Mendes,Mauro Mendes Ferreira,454,17
432046700466455,Chamonzinho,Chamonzinho,453,7
348704312899125,foconofato,FOCO NO FATO,452,8
1573742939554561,Deputado Botelho,Deputado Botelho,449,3
343655492351770,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,438,7
1549054225424161,Eduardo Moreira,These ads ran without a disclaimer,434,2
1619570641615465,Fernando Marangoni,Fernando Marangoni,414,9
109770755848061,Suzano,Suzano SA,412,4
520798404655508,Baleia Rossi,Baleia Rossi,408,10
323918771004168,Paulo Serra,Paulo Serra,404,6
1611963792244876,Ana Paula Siqueira,Ana Paula Siqueira,400,2
1467758140118814,Governo de Goiás,Governo de Goiás,400,9
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,398,7
520803328039440,Recicla Sampa,Eco Urbis e Loga,390,10
100380548458405,Prefeitura de Jaboticabal,Prefeitura de Jaboticabal,386,14
976295639063920,Professora Andréa Paula,Professora Andréa Paula,377,34
106312705760381,Formação Conservadora,Formação Conservadora,373,3
273642106068512,Paulo Alexandre Barbosa,Paulo Alexandre Pereira Barbosa,372,4
110627197066277,Leandra Prefeita,Leandra Prefeita,370,2
420034204870008,PSD Mulher - Paraná,PSD Mulher - Paraná,368,4
650190518395498,Fabio Garcia,FÁBIO PAULINO GARCIA,368,36
242062609325601,Agenda 227,ANDI AGENCIA DE NOTICIAS DOS DIREITOS DA INFANCIA,365,3
101132704939097,Portal RealTime1,REAL TIME 1,363,5
115811301935382,Analice Fernandes,Analice Fernandes,361,7
428795217537762,Rodolfo Nogueira,Rodolfo Nogueira,353,5
258088921369,TOTVS,These ads ran without a disclaimer,345,1
675193629265637,Videocamp,Instituto Alana,342,55
162297750451425,Criança e Consumo,Instituto Alana,340,18
377574165675945,OAB Rondônia,OAB RONDÔNIA,331,34
7970426802,WWF-Brasil,WWF-Brasil,330,49
314916388685112,Deputado Val Ceasa,Deputado Val Ceasa,329,2
491007197579019,Carlos Brandão,Carlos Brandão,329,6
1796853600564637,Jair Da Mendes Gomes,ADEJAIR SANCHES DE AGUIAR,327,5
729392980520143,Senador Styvenson,Eann Styvenson Valentim Mendes,325,2
321727954527324,Prefeitura de Santana de Parnaíba,Municipio de Santana de Parnaíba,317,14
163852833738546,Vinicius Camarinha,Vinicius Camarinha,313,23
107827985562258,Zany Leite Jr.,Zany Leite Jr.,308,9
264837510312080,Prefeitura de Irati,MUNICIPIO DE IRATI,306,2
534549993273437,CPM,These ads ran without a disclaimer,297,24
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,293,9
165175370206522,Citi Brasil,Citi Brasil,293,1
394080733989702,Gugu Nader,These ads ran without a disclaimer,287,2
1703010579956133,Eleições 2024 - Cursos Online,Curso Eleitoral,274,6
308976223304,Tintas Coral,Akzonobel,263,1
596069503823478,Vereador Zé Márcio - Garotinho,Vereador Zé Márcio - Garotinho,262,8
104738421003389,InvestNews BR,Nubank,261,7
