Location name,Amount spent (CLP)
Antofagasta Region,386913
Araucanía Region,808767
Arica y Parinacota Region,439327
Atacama Region,260316
Aysén Region,606136
Bío Bío Region,1135670
Coquimbo Region,948280
Los Lagos Region,2401745
Los Ríos Region,314845
Magallanes y la Antártica Chilena Region,313892
Maule Region,795898
O'Higgins Region,1497008
Santiago Metropolitan Region,3745896
Tarapacá Region,240676
Unknown,330
Valparaíso Region,2460532
