Location name,Amount spent (BRL)
Acre (state),1435
Alagoas,2794
Amapá,650
Amazonas,4418
Bahia,15471
Ceará,10253
Espírito Santo,5101
Federal District,4609
Goiás,6389
Maranhão,7737
Mato Grosso,5771
Mato Grosso do Sul,4699
Minas Gerais,26880
Paraná,14380
Paraíba,5507
Pará,8838
Pernambuco,12496
Piauí,2878
Rio Grande do Norte,4347
Rio Grande do Sul,11541
Rio de Janeiro (state),15470
Rondônia,2037
Roraima,1088
Santa Catarina,10550
Sergipe,2243
São Paulo (state),51560
Tocantins,1218
Unknown,≤100
