Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
426291684782880,Irrigation.tn,These ads ran without a disclaimer,≤100,1
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,≤100,1
1417771368474782,بوابة تونس - Tunigate,These ads ran without a disclaimer,≤100,2
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,1
59978261217,U.S. Embassy Tunis,U.S. Embassy Tunis,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
116232578055472,SBH Education,These ads ran without a disclaimer,≤100,1
105962834688766,Lea Kotche femme Leader.,These ads ran without a disclaimer,≤100,1
102407559822494,Training Centre in Communication (TCC Africa),These ads ran without a disclaimer,≤100,1
110822558440660,Brackish Babe,These ads ran without a disclaimer,≤100,1
107708655613692,MyCont-Ent,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
450326391674911,Allianz,These ads ran without a disclaimer,≤100,1
393872197297324,Ovelia Résidences Seniors,These ads ran without a disclaimer,≤100,1
109353154135430,E.N. Publishing,These ads ran without a disclaimer,≤100,1
