Location name,Amount spent (CLP)
Antofagasta Region,181921
Araucanía Region,343924
Arica y Parinacota Region,76214
Atacama Region,91026
Aysén Region,37475
Bío Bío Region,964871
Coquimbo Region,236238
Los Lagos Region,439282
Los Ríos Region,129245
Magallanes y la Antártica Chilena Region,51554
Maule Region,374030
O'Higgins Region,257801
Santiago Metropolitan Region,3521832
Tarapacá Region,85708
Unknown,1713
Valparaíso Region,619031
