Location name,Amount spent (THB)
Amnat Charoen,1375
Ang Thong,677
Ayutthaya,4615
Bangkok,149289
Bueng Kan,799
Buriram,3403
Chachoengsao,2698
Chai Nat,1920
Chaiyaphum,2412
Chanthaburi,5601
Chiang Mai,7697
Chiang Rai,3450
Chon Buri,18568
Chumphon,2756
Kalasin,1485
Kamphaeng Phet,1719
Kanchanaburi,10250
Khon Kaen,13646
Krabi,8528
Lampang,1768
Lamphun,1871
Loei,1402
Lop Buri,1978
Mae Hong Son,479
Maha Sarakham,1850
Mukdahan,901
Nakhon Nayok,1683
Nakhon Pathom,6407
Nakhon Phanom,2931
Nakhon Ratchasima,9780
Nakhon Sawan,3090
Nakhon Si Thammarat,9253
Nan,1254
Narathiwat,974
Nong Bua Lam Phu,969
Nong Khai,1017
Nonthaburi,9303
Pathum Thani,16335
Pattani,1250
Phangnga,1099
Phatthalung,2237
Phayao,4425
Phetchabun,2526
Phetchaburi,1426
Phichit,2510
Phitsanulok,15020
Phrae,926
Phuket,12058
Prachin Buri,1879
Prachuap Khiri Khan,2416
Ranong,596
Ratchaburi,5054
Rayong,5721
Roi Et,2321
Sa Kaeo,1229
Sakon Nakhon,2869
Samut Prakan,7828
Samut Sakhon,6769
Samut Songkhram,3801
Saraburi,3462
Satun,865
Sing Buri,622
Sisaket,2372
Songkhla,9921
Sukhothai,1993
Suphan Buri,2359
Surat Thani,20967
Surin,2510
Tak,2082
Trang,5718
Trat,1934
Ubon Ratchathani,3936
Udon Thani,3551
Unknown,≤100
Uthai Thani,777
Uttaradit,1011
Yala Province,1083
Yasothon,1237
