Location name,Amount spent (CAD)
Alberta,12643
British Columbia,10684
Manitoba,3186
New Brunswick,1567
Newfoundland and Labrador,650
Northwest Territories,≤100
Nova Scotia,1480
Nunavut,≤100
Ontario,22616
Prince Edward Island,217
Quebec,12834
Saskatchewan,2261
Unknown,≤100
Yukon,≤100
