Location name,Amount spent (SEK)
Blekinge County,11860
Dalarna County,22404
Gotland County,5466
Gävleborg County,22809
Halland County,24298
Jämtland County,10534
Jönköping County,25403
Kalmar County,16755
Kronoberg County,13260
Norrbotten County,19733
Skåne County,96061
Stockholm County,178415
Södermanland County,22544
Unknown,≤100
Uppsala County,31529
Värmland County,21058
Västerbotten County,20082
Västernorrland County,18869
Västmanland County,20348
Västra Götaland County,136569
Örebro County,22183
Östergötland County,32518
