Location name,Amount spent (CLP)
Antofagasta Region,115833
Araucanía Region,222213
Arica y Parinacota Region,109112
Atacama Region,49517
Aysén Region,22480
Bío Bío Region,812966
Coquimbo Region,158367
Los Lagos Region,152691
Los Ríos Region,84326
Magallanes y la Antártica Chilena Region,35607
Maule Region,175609
O'Higgins Region,152654
Santiago Metropolitan Region,2036976
Tarapacá Region,81498
Unknown,716
Valparaíso Region,421414
