Location name,Amount spent (NZD)
Auckland Region,3815
Bay of Plenty Region,604
Canterbury,1312
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,292
Manawatu-Wanganui,589
Marlborough Region,117
Nelson Province,113
Niue,≤100
Northland Region,353
Otago,776
Southland,276
Taranaki,228
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,915
Wellington Region,926
West Coast,≤100
