Location name,Amount spent (EUR)
Alsace,620
Aquitaine,1183
Auvergne,403
Basse-Normandie,416
Bourgogne,437
Bretagne,1098
Centre,728
Champagne-Ardenne,409
Corse,138
Franche-Comté,283
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,577
Languedoc-Roussillon,1121
Limousin,213
Lorraine,721
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,906
New Caledonia,≤100
Nord-Pas-de-Calais,1173
Pays de la Loire,1058
Picardie,577
Poitou-Charentes,552
Provence-Alpes-Côte d'Azur,2403
Reunion Island,≤100
Rhône-Alpes,2192
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4878
