Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
575755372513811,Muhittin Böcek,Muhittin Böcek,4436,11
562429187164086,Hilmi Türkmen,Üsküdar Belediyesi,3083,1
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,2030,12
1439683329600228,Ümit Uysal,Ümit Uysal,1915,6
100701695747178,Usta Kasap,Şenpiliç Gıda Sanayi A.Ş.,1413,4
100431406701471,Internethaber,Internethaber,1305,16
141311632555208,Bağımsız Türkiye Partisi,Bağımsız Türkiye Partisi,1286,7
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,1232,4
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,1006,1
110471555281943,Poddy Türkiye,Poddy Türkiye,962,9
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,805,11
109086995017642,firatpicturesturkey,firatpicturesturkey,757,13
426339260809702,Oğul Aktuna,Oğul Aktuna,747,3
103513639690901,ATILIM ÜNİVERSİTESİ,These ads ran without a disclaimer,725,1
370465530355174,Mustafa Demir,Mustafa Demir,555,4
120266711045676,Başka Açıdan Tv,Başka Açıdan TV,450,1
505757142770713,Rönesans Holding,Rönesans Holding Anonim Şirketi,441,2
109023428940266,rte_universitesi,These ads ran without a disclaimer,412,4
432866330501118,Ömer Niyazi İŞLEK,Ömer Niyazi İŞLEK,409,1
107754875610654,10 Haber,10 Haber,389,1
220319391464566,Vahap Akay,Vahap Akay,376,6
106589749372096,Mersin Ticaret ve Sanayi Odası,Mersin Ticaret ve Sanayi Odası,346,1
191453580768,Yeni Şafak,Yeni Şafak,333,1
226410901315304,Areda Survey,Areda Survey,328,6
102477212191748,Rahmi Galip Vidinlioğlu,Rahmi Galip Vidinlioğlu,297,2
280841025432969,Ali Kılıç,Ali Kılıç,276,1
1853596164970868,Murat Ercan,Murat Ercan,255,2
109653868261487,denizgoran_tamtekin,These ads ran without a disclaimer,242,1
675852185895583,Samsun ETİK HABER,Samsun ETİK HABER,234,1
1604958276192112,Alper Taban,Alper Taban,219,2
114888940432389,Medya Midas,Medya Midas,207,1
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,164,17
1776545895921237,Nedersiniz,Nedersiniz,157,6
326762974177171,SODEV - Sosyal Demokrasi Vakfı,SODEV,152,1
100942688529011,osmaniyeyerfistigi80,osmaniyeyerfistigi80,151,1
498579987170393,العدسة  The Lens,thelenspost,150,4
855810358143919,Tahir Büyükakın,Tahir Büyükakın,129,1
162426093833308,Fransızca Öğreniyorum,These ads ran without a disclaimer,119,1
815048841929079,M. Ergün Turan,M. Ergün Turan,114,2
111175874923200,Melek Seyhun Sağlikli Yaşam Merkezi,These ads ran without a disclaimer,108,1
107276120819529,Halk Haber TV,SİRİUS REKLAM ORGANİZASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ,103,1
442942082484899,Ege Gündem Gazetesi,Ege Gündem Gazetesi,≤100,2
111936405162038,Hanen ben Salah - حنان بن صالح,Hanen ben Salah - حنان بن صالح,≤100,1
346006742126033,Bornova Belediyesi,Bornova Belediyesi,≤100,1
505992806138474,يني شفق العربية,يني شفق العربية,≤100,1
115783369141120,Emlak Müzayede,These ads ran without a disclaimer,≤100,1
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,≤100,5
103315052537581,Rapor Bülteni,Rapor Bülteni,≤100,3
112320035125682,Nefes Estetik Güzellik Ve Bakım Merkezi,These ads ran without a disclaimer,≤100,1
106075391829184,Gökhan Canlı Coğlaki Mahallesi Muhtar Adayı,Gökhan Canlı Coğlaki Mahallesi Muhtar Adayı,≤100,2
210993622366044,TVNET,TVNET,≤100,2
105096608003312,onyo_candle,These ads ran without a disclaimer,≤100,1
463215923715177,Mehmet Yiğiner,Mehmet Yiğiner,≤100,3
102832949436956,ordinaryustrader,These ads ran without a disclaimer,≤100,1
114107533710571,Turhan DOĞU,Turhan DOĞU,≤100,2
