Location name,Amount spent (CAD)
Alberta,19232
British Columbia,17716
Manitoba,2646
New Brunswick,3443
Newfoundland and Labrador,1103
Northwest Territories,117
Nova Scotia,2862
Nunavut,130
Ontario,51136
Prince Edward Island,495
Quebec,23412
Saskatchewan,2935
Unknown,≤100
Yukon,125
