Location name,Amount spent (THB)
Amnat Charoen,113
Ang Thong,≤100
Ayutthaya,421
Bangkok,13449
Bueng Kan,≤100
Buriram,350
Chachoengsao,146
Chai Nat,188
Chaiyaphum,211
Chanthaburi,607
Chiang Mai,859
Chiang Rai,264
Chon Buri,450
Chumphon,301
Kalasin,273
Kamphaeng Phet,439
Kanchanaburi,264
Khon Kaen,415
Krabi,334
Lampang,194
Lamphun,103
Loei,146
Lop Buri,122
Mae Hong Son,386
Maha Sarakham,295
Mukdahan,108
Nakhon Nayok,≤100
Nakhon Pathom,492
Nakhon Phanom,220
Nakhon Ratchasima,662
Nakhon Sawan,221
Nakhon Si Thammarat,2554
Nan,≤100
Narathiwat,178
Nong Bua Lam Phu,141
Nong Khai,168
Nonthaburi,666
Pathum Thani,590
Pattani,196
Phangnga,181
Phatthalung,222
Phayao,409
Phetchabun,153
Phetchaburi,470
Phichit,149
Phitsanulok,1650
Phrae,≤100
Phuket,2850
Prachin Buri,105
Prachuap Khiri Khan,263
Ranong,≤100
Ratchaburi,252
Rayong,225
Roi Et,366
Sa Kaeo,≤100
Sakon Nakhon,216
Samut Prakan,854
Samut Sakhon,329
Samut Songkhram,338
Saraburi,143
Satun,110
Sing Buri,≤100
Sisaket,342
Songkhla,735
Sukhothai,248
Suphan Buri,271
Surat Thani,6532
Surin,321
Tak,302
Trang,236
Trat,≤100
Ubon Ratchathani,534
Udon Thani,411
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,179
Yasothon,374
