Location name,Amount spent (NZD)
Auckland Region,3648
Bay of Plenty Region,673
Canterbury,1350
Cook Islands,≤100
Gisborne District,101
Hawke's Bay,516
Manawatu-Wanganui,537
Marlborough Region,104
Nelson Province,151
Niue,≤100
Northland Region,355
Otago,530
Southland,231
Taranaki,269
Tasman District,≤100
Unknown,≤100
Waikato,1063
Wellington Region,1060
West Coast,≤100
