Location name,Amount spent (TRY)
Adana Province,1473
Adıyaman Province,183
Afyonkarahisar Province,374
Aksaray Province,326
Amasya Province,165
Ankara Province,4573
Antalya Province,2452
Ardahan Province,≤100
Artvin Province,115
Aydın Province,851
Ağrı Province,101
Balıkesir Province,813
Bartın Province,109
Batman Province,199
Bayburt Province,≤100
Bilecik Province,129
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,183
Burdur Province,176
Bursa Province,2098
Denizli Province,715
Diyarbakır Province,445
Düzce Province,223
Edirne Province,225
Elazığ Province,215
Erzincan Province,142
Erzurum Province,234
Eskişehir Province,816
Gaziantep Province,1139
Giresun Province,257
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,938
Isparta Province,297
Istanbul Province,22719
Iğdır Province,≤100
Kahramanmaraş Province,503
Karabük Province,137
Karaman Province,155
Kars Province,≤100
Kastamonu Province,175
Kayseri Province,722
Kilis Province,≤100
Kocaeli Province,936
Konya Province,1169
Kütahya Province,291
Kırklareli Province,530
Kırıkkale Province,378
Kırşehir Province,123
Malatya Province,268
Manisa Province,828
Mardin Province,257
Mersin Province,1081
Muğla Province,735
Muş Province,≤100
Nevşehir Province,144
Niğde Province,202
Ordu Province,456
Osmaniye Province,271
Rize Province,199
Sakarya Province,384
Samsun Province,1254
Siirt Province,≤100
Sinop Province,128
Sivas Province,262
Tekirdağ Province,1381
Tokat Province,398
Trabzon Province,438
Tunceli Province,≤100
Unknown,≤100
Uşak Province,257
Van Province,258
Yalova Province,162
Yozgat Province,150
Zonguldak Province,303
Çanakkale Province,469
Çankırı Province,≤100
Çorum Province,248
İzmir Province,3815
Şanlıurfa Province,656
Şırnak Province,123
