Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,347
Cerro Largo Department,≤100
Colonia Department,160
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,270
Montevideo Department,1660
Paysandú Department,2056
Rivera Department,222
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,164
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
