Location name,Amount spent (INR)
Andaman and Nicobar Islands,284
Andhra Pradesh,29273
Arunachal Pradesh,2603
Assam,35828
Bihar,113152
Chandigarh,1879
Chhattisgarh,17933
Dadra and Nagar Haveli,21653
Delhi,1080912
Goa,2402
Gujarat,2954579
Haryana,66308
Himachal Pradesh,18171
Jammu and Kashmir,13497
Jharkhand,22547
Karnataka,86673
Kerala,22420
Lakshadweep,≤100
Madhya Pradesh,86442
Maharashtra,182165
Manipur,2890
Meghalaya,8287
Mizoram,1414
Nagaland,1532
Odisha,22863
Puducherry,1557
Punjab region,35331
Rajasthan,88434
Sikkim,1359
Tamil Nadu,42827
Telangana,36796
Tripura,6342
Unknown,≤100
Uttar Pradesh,193663
Uttarakhand,15433
West Bengal,62085
