Location name,Amount spent (DKK)
Capital Region of Denmark,43408
Central Denmark Region,25099
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11538
Region of Southern Denmark,23522
Unknown,≤100
Zealand Region,17399
