Location name,Amount spent (COP)
Amazonas,332
Antioquia,1493794
Arauca,11391
Atlantico,186099
Bolivar,266735
Boyaca,31603
Caldas,62620
Caqueta,75115
Casanare,27004
Cauca,105357
Cesar,45048
Choco,5401
Cordoba,120373
Cundinamarca,291157
Distrito Especial,2101901
Guainia,339
Guaviare,1273
Huila,98651
La Guajira,20183
Magdalena,89852
Meta,108902
Narino,114434
Norte de Santander,72743
Putumayo,12407
Quindio,41419
Risaralda,320314
San Andres y Providencia,1903
Santander,81882
Sucre,33205
Tolima,167301
Unknown,≤100
Valle del Cauca,670511
Vaupes,210
Vichada,289
