Location name,Amount spent (NZD)
Auckland Region,2711
Bay of Plenty Region,501
Canterbury,1082
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,350
Manawatu-Wanganui,450
Marlborough Region,≤100
Nelson Province,116
Niue,≤100
Northland Region,298
Otago,366
Southland,182
Taranaki,220
Tasman District,≤100
Unknown,≤100
Waikato,850
Wellington Region,981
West Coast,≤100
