Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,4838,19
740116816003959,Western Cape Government,Western Cape Government,2093,3
195909420099,Solidariteit,Solidariteit,1328,7
136956534616,Times LIVE,TimesLIVE,1062,20
57206003848,Greenpeace Africa,Greenpeace Africa,917,1
100228168822390,VF Plus- Kaap Agulhas,Vryheidsfront Plus / Freedom Front Plus,670,4
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),415,1
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,403,7
2145594122138312,Action Society,Action Society,348,5
147301545821830,Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape,Vryheidsfront Plus / Freedom Front Plus,297,6
107169379305548,TLU SA,TLU SA,255,8
1742410059361710,AwakeMzansi,Awake Mzansi,246,1
106172744063430,The Daily Friend,The Daily Friend,240,14
446648162438519,Thisisacumen,Acumen Media Management,239,2
103278761413963,Empowering SA,Empowering SA,216,3
108157288193556,Africaninsider,Africaninsider,197,2
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,194,3
181204251979581,NEASA,National Employers' Association of South Africa,178,2
1534982756793690,Foodvisor,These ads ran without a disclaimer,170,3
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,166,1
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,157,6
581475018952196,Good,GOOD Political Party,129,1
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,123,4
178713262328364,DA KZN,Democratic Alliance,115,1
165736836881428,GroundUp,GroundUp News NPC,≤100,2
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100,1
102265308016316,Al Jama-ah,Al Jama-ah,≤100,1
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100,1
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,8
748709935278469,Zelna Jansen Consultancy,Zelna Moira Jansen,≤100,2
153698181363705,Democratic Alliance Eastern Cape,Democratic Alliance,≤100,1
103131862424141,IZWE LETHU PARTY,IZWE LETHU PARTY,≤100,1
100846489215390,Cactus Cat,These ads ran without a disclaimer,≤100,4
111901560465601,Jaha Dukureh,These ads ran without a disclaimer,≤100,1
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,≤100,1
105069498905916,Cde Thembeni Nxangisa,These ads ran without a disclaimer,≤100,1
627157890635643,Kagiso Interactive,These ads ran without a disclaimer,≤100,1
105642525462731,Retro Ways,These ads ran without a disclaimer,≤100,2
116308369063243,Kambria,These ads ran without a disclaimer,≤100,1
204862942932993,Nikkei Asia,These ads ran without a disclaimer,≤100,1
111014922285371,Transparency International,These ads ran without a disclaimer,≤100,1
203124020479369,Arafat Khan,These ads ran without a disclaimer,≤100,1
101978933230493,DHL,These ads ran without a disclaimer,≤100,1
104918367555965,The Fun Post,These ads ran without a disclaimer,≤100,1
108509964820198,How To Be Podcast,These ads ran without a disclaimer,≤100,1
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100,1
1005121266361411,Safiri TV & Film,These ads ran without a disclaimer,≤100,1
108637620485364,Brain Nuggets,These ads ran without a disclaimer,≤100,2
100211619492021,fanakameanssuccess,These ads ran without a disclaimer,≤100,1
101578564700517,VOA Africa,These ads ran without a disclaimer,≤100,1
106757347938154,Planet Treat,These ads ran without a disclaimer,≤100,1
317523675504246,Cookie - Fun Games,These ads ran without a disclaimer,≤100,1
