Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,292
Cerro Largo Department,≤100
Colonia Department,520
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,7831
Paysandú Department,7638
Rivera Department,415
Rocha Department,≤100
Río Negro Department,135
Salto Department,166
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
