Location name,Amount spent (DKK)
Capital Region of Denmark,63064
Central Denmark Region,33830
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,16254
Region of Southern Denmark,33881
Unknown,≤100
Zealand Region,23212
