Location name,Amount spent (RON)
Alba County,579
Arad County,805
Argeș County,1004
Bacău County,980
Bihor County,828
Bistrița-Năsăud County,375
Botoșani County,584
Brașov County,997
Brăila County,432
Bucharest,5077
Buzău County,642
Caraș-Severin County,404
Cluj County,1617
Constanța County,1356
Covasna County,331
Călărași County,362
Dolj County,816
Dâmbovița County,584
Galați County,734
Giurgiu County,243
Gorj County,449
Harghita County,520
Hunedoara County,890
Ialomița County,253
Iași County,2107
Ilfov County,754
Maramureș County,848
Mehedinți County,501
Mureș County,921
Neamț County,695
Olt County,384
Prahova County,1422
Satu Mare County,546
Sibiu County,660
Suceava County,834
Sălaj County,276
Teleorman County,351
Timiș County,1416
Tulcea County,342
Unknown,≤100
Vaslui County,424
Vrancea County,548
Vâlcea County,703
