Location name,Amount spent (CLP)
Antofagasta Region,55940
Araucanía Region,86918
Arica y Parinacota Region,34203
Atacama Region,18415
Aysén Region,10380
Bío Bío Region,124733
Coquimbo Region,64095
Los Lagos Region,50446
Los Ríos Region,21954
Magallanes y la Antártica Chilena Region,9170
Maule Region,58976
O'Higgins Region,56481
Santiago Metropolitan Region,563407
Tarapacá Region,27642
Unknown,157
Valparaíso Region,116841
