Location name,Amount spent (COP)
Amazonas,821
Antioquia,9339738
Arauca,12284
Atlantico,847870
Bolivar,179655
Boyaca,295672
Caldas,494598
Caqueta,167339
Casanare,41064
Cauca,141099
Cesar,671520
Choco,15459
Cordoba,591629
Cundinamarca,505626
Distrito Especial,1944787
Guainia,633
Guaviare,11009
Huila,484177
La Guajira,182750
Magdalena,342827
Meta,306634
Narino,43583
Norte de Santander,450180
Putumayo,97702
Quindio,70825
Risaralda,757318
San Andres y Providencia,3807
Santander,974494
Sucre,587477
Tolima,365857
Unknown,268
Valle del Cauca,5035471
Vaupes,306
Vichada,677
