Location name,Amount spent (NZD)
Auckland Region,1724
Bay of Plenty Region,429
Canterbury,709
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,229
Manawatu-Wanganui,299
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,226
Otago,279
Southland,130
Taranaki,156
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,546
Wellington Region,499
West Coast,≤100
