Location name,Amount spent (JPY)
Aichi Prefecture,40025
Akita Prefecture,3217
Aomori Prefecture,4744
Chiba Prefecture,32284
Ehime Prefecture,5448
Fukui Prefecture,3368
Fukuoka Prefecture,57989
Fukushima Prefecture,6985
Gifu Prefecture,8996
Gunma Prefecture,8550
Hiroshima Prefecture,22049
Hokkaido,26850
Hyōgo Prefecture,35952
Ibaraki Prefecture,12195
Ishikawa Prefecture,5202
Iwate Prefecture,6388
Kagawa Prefecture,5774
Kagoshima Prefecture,6048
Kanagawa Prefecture,75854
Kumamoto Prefecture,9047
Kyoto Prefecture,22586
Kōchi Prefecture,2630
Mie Prefecture,7809
Miyagi Prefecture,17153
Miyazaki Prefecture,5336
Nagano Prefecture,8090
Nagasaki Prefecture,7051
Nara Prefecture,6058
Niigata Prefecture,7797
Okayama Prefecture,13148
Okinawa Prefecture,10405
Osaka Prefecture,63535
Saga Prefecture,5042
Saitama Prefecture,39335
Shiga Prefecture,6899
Shimane Prefecture,2616
Shizuoka Prefecture,16729
Tochigi Prefecture,8330
Tokushima Prefecture,3177
Tokyo,112343
Tottori Prefecture,2060
Toyama Prefecture,3830
Unknown,≤100
Wakayama Prefecture,4454
Yamagata Prefecture,4214
Yamaguchi Prefecture,4992
Yamanashi Prefecture,3828
Ōita Prefecture,5979
