Location name,Amount spent (MYR)
Johor,609
Kedah,413
Kelantan,265
Kuala Lumpur,589
Labuan,≤100
Malacca,143
Negeri Sembilan,194
Pahang,226
Penang,181
Perak,390
Perlis,≤100
Putrajaya,≤100
Sabah,458
Sarawak,541
Selangor,913
Terengganu,206
Unknown,≤100
