Location name,Amount spent (CZK)
Central Bohemian Region,10679
Hradec Králové Region,4534
Karlovy Vary Region,2404
Liberec Region,3362
Moravian-Silesian Region,9067
Olomouc Region,4911
Pardubice Region,3901
Plzeň Region,4517
Prague,19114
South Bohemian Region,5076
South Moravian Region,10813
Unknown,≤100
Vysočina Region,3269
Zlín Region,3916
Ústí nad Labem Region,6942
