Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1058116737612843,USR,Uniunea Salvați România,8202,12
178362315106,European Parliament,European Parliament,4858,12
990747367737692,Cătălin Drulă,Uniunea Salvați România,4097,5
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,2515,15
291177524360702,Partidul Social Democrat,Partidul Social Democrat,1394,16
163943696987223,Ziarul Puterea,Ziarul Puterea,1311,30
321890494859228,Vlad Gheorghe,Vlad Gheorghe,1055,21
1133289623473565,Lucian Patrascu,Partidul Social Democrat,630,4
108295090637741,ASAP România,Fundatia The Institute,472,7
110714784883015,Bogdan Dumea,Partidul Social Democrat,462,6
207741001672,Speranta pentru Romania,Speranta pentru Romania,423,6
123526378261795,Stiri Locale,Stiri Locale,412,5
1559885467641191,Râul Alb,Râul Alb,396,11
260365460647855,Mircea Geoana,Mircea Geoana,370,5
1504323906337545,Litere.net,litere.net,360,3
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,350,11
113903080356129,Alin Mituța,Alin Mituța,342,2
697451833786949,Mihai Polițeanu,Mihai Polițeanu,330,6
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,306,15
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,302,10
686190454826244,Declic,Declic,301,58
114319753592403,AFACERI.news,Trend Communication,290,7
1156150484398630,MozaiQ,MozaiQ,289,1
220579784732993,Daniel Buda,Daniel Buda,282,6
971907786352729,USR Cluj,USR Cluj,247,5
731035500293728,Siegfried Muresan,Siegfried Muresan,230,2
149371012371397,Newsweek Romania,Newsweek Romania,223,4
102743169253473,Reciclăm în România,Reciclăm în România,220,28
106543571883873,Forța Dreptei - București,Forța Dreptei - București,219,2
1167483569966107,Primăria Municipiului Satu Mare / Szatmárnémeti,Primăria Municipiului Satu Mare / Szatmárnémeti,214,5
165467823513147,Alin Tișe,Alin Tișe,209,3
110665943772240,Virgil Pirvulescu,Virgil Pîrvulescu,206,1
113795383753850,Viorel Băltărețu,Cabinet Parlamentar Viorel Băltărețu USRPLUS Cluj,199,4
490181697757865,Antal Lóránt,Birou Senatorial Antal Lóránt Szenátori Iroda,195,12
103163884940349,Larisa Blanari,Marketing @Cevaltceva,186,1
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,163,3
340365952736683,Alin Nica,Alin Nica,162,4
612912695435095,Factual,Factual,158,7
494469087244449,Eugen Tomac,Eugen Tomac,156,2
163198567038597,Fundatia Leaders,Fundatia Leaders,155,15
102626229459814,Spunem NU pasajului subteran,Partidul Câmpina Curată,145,11
109097618335138,Eduard Mititelu,Eduard Mititelu,142,3
102601499822802,RMDSZ,RMDSZ,141,8
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,137,9
100211372942318,România=GEȚIA,România=GEȚIA,136,2
395624153809868,Fundatia Renasterea,Sociallite Media Solutions,130,12
102718835134723,Dumitru Rujan,Dumitru Rujan,129,2
2546711162025064,Politice.net,politice.net,119,2
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Szövetség,112,6
