Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,104
Baghdad Governorate,453
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,101
Dohuk Governorate,121
Erbil Governorate,362
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,152
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,148
Saladin Governorate,≤100
Sulaymaniyah Governorate,306
Unknown,≤100
Wasit Governorate,≤100
