Location name,Amount spent (DKK)
Capital Region of Denmark,34620
Central Denmark Region,16614
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7276
Region of Southern Denmark,15297
Unknown,≤100
Zealand Region,13451
