Location name,Amount spent (MYR)
Johor,1230
Kedah,178
Kelantan,111
Kuala Lumpur,427
Labuan,≤100
Malacca,120
Negeri Sembilan,159
Pahang,151
Penang,214
Perak,233
Perlis,≤100
Putrajaya,≤100
Sabah,225
Sarawak,318
Selangor,686
Terengganu,103
Unknown,≤100
