Location name,Amount spent (MXN)
Aguascalientes,5448
Baja California,44412
Baja California Sur,6712
Campeche,11835
Chiapas,23246
Chihuahua,44598
Coahuila de Zaragoza,21999
Colima,10674
Distrito Federal,144899
Durango,5604
Guanajuato,41835
Guerrero,17117
Hidalgo,8016
Jalisco,76151
Michoacán de Ocampo,50853
Morelos,19422
Nayarit,4465
Nuevo León,104369
Oaxaca,26850
Puebla,37867
Querétaro Arteaga,20878
Quintana Roo,66932
San Luis Potosi,29556
Sinaloa,22359
Sonora,33077
State of Mexico,70467
Tabasco,9201
Tamaulipas,32925
Tlaxcala,5871
Unknown,≤100
Veracruz,37845
Yucatán,20189
Zacatecas,7347
