Location name,Amount spent (SEK)
Blekinge County,3085
Dalarna County,6184
Gotland County,1443
Gävleborg County,6073
Halland County,6246
Jämtland County,2981
Jönköping County,7329
Kalmar County,5166
Kronoberg County,3624
Norrbotten County,5084
Skåne County,27038
Stockholm County,51375
Södermanland County,6008
Unknown,≤100
Uppsala County,8465
Värmland County,5511
Västerbotten County,6098
Västernorrland County,4690
Västmanland County,5255
Västra Götaland County,38188
Örebro County,6044
Östergötland County,9096
