Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
401209667010709,RMIT Vietnam Postgraduate Programs,These ads ran without a disclaimer,875950,3
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,731714,4
639916136087914,Ywines Mart & Restaurant,These ads ran without a disclaimer,453661,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,428741,3
136176823413276,Eco-Business,These ads ran without a disclaimer,388554,1
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,267963,11
111831663772285,BOMvn,BOMvn,262331,6
1507429892822619,BOM Money,BOM Money,261800,7
2117731595156251,Đắc Nhân Tâm,These ads ran without a disclaimer,226357,1
108120508307791,LionExpose,These ads ran without a disclaimer,174793,1
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,39238,3
108715314693314,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,27542,1
111418496986680,Đất Và Nhà Tây Ninh,These ads ran without a disclaimer,25401,1
225706078170576,Đoàn TNCS Hồ Chí Minh xã Quảng Tiến,Đoàn TNCS Hồ Chí Minh xã Quảng Tiến,15769,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,10983,2
378454888947214,Roxtec Group,These ads ran without a disclaimer,2280,1
144799682726405,IDVN Lawyers,These ads ran without a disclaimer,567,1
109562720823279,CGTN Sports Scene,These ads ran without a disclaimer,≤100,1
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100,1
132952406828601,NCS Group,These ads ran without a disclaimer,≤100,1
284370804968723,"Croatian service, China radio International",These ads ran without a disclaimer,≤100,1
106471654540168,INFINOX Global,These ads ran without a disclaimer,≤100,1
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,1
