Location name,Amount spent (ARS)
Buenos Aires,789405
Catamarca,45983
Chaco,94040
Chubut,246730
Ciudad Autónoma de Buenos Aires,396278
Corrientes,13275
Córdoba,1200982
Entre Rios,33669
Formosa,18168
Jujuy,11608
La Pampa,70985
La Rioja,16218
Mendoza,21764
Misiones,13017
Neuquén,73012
Río Negro,26777
Salta,54692
San Juan,29702
San Luis,38959
Santa Cruz,4198
Santa Fe,132925
Santiago del Estero,5952
Tierra del Fuego,51155
Tucuman,34776
Unknown,≤100
