Location name,Amount spent (CZK)
Central Bohemian Region,7354
Hradec Králové Region,3241
Karlovy Vary Region,1734
Liberec Region,2423
Moravian-Silesian Region,6846
Olomouc Region,3949
Pardubice Region,4925
Plzeň Region,4024
Prague,12229
South Bohemian Region,5759
South Moravian Region,7968
Unknown,≤100
Vysočina Region,2718
Zlín Region,3050
Ústí nad Labem Region,5323
