Location name,Amount spent (INR)
Andaman and Nicobar Islands,325
Andhra Pradesh,47665
Arunachal Pradesh,2738
Assam,30922
Bihar,77691
Chandigarh,3612
Chhattisgarh,122692
Dadra and Nagar Haveli,2171
Delhi,65095
Goa,4271
Gujarat,71057
Haryana,46410
Himachal Pradesh,16538
Jammu and Kashmir,15705
Jharkhand,27726
Karnataka,55496
Kerala,9327
Lakshadweep,≤100
Madhya Pradesh,358841
Maharashtra,169085
Manipur,516
Meghalaya,2414
Mizoram,3958
Nagaland,1700
Odisha,28282
Puducherry,1640
Punjab region,36631
Rajasthan,328399
Sikkim,1999
Tamil Nadu,29354
Telangana,121405
Tripura,3813
Unknown,190
Uttar Pradesh,176383
Uttarakhand,25585
West Bengal,71585
