Location name,Amount spent (USD)
Alabama,14892
Alaska,2960
Arizona,39353
Arkansas,9605
California,131290
Colorado,23896
Connecticut,10863
Delaware,3961
Florida,82756
Georgia,36167
Guam,≤100
Hawaii,3606
Idaho,6689
Illinois,41585
Indiana,22996
Iowa,12160
Kansas,10568
Kentucky,20812
Louisiana,19304
Maine,8856
Maryland,24552
Massachusetts,21984
Michigan,47732
Minnesota,18408
Mississippi,10972
Missouri,20024
Montana,5111
Nebraska,7777
Nevada,14716
New Hampshire,7815
New Jersey,33807
New Mexico,7031
New York,110969
North Carolina,68324
North Dakota,2536
Ohio,52962
Oklahoma,15938
Oregon,14660
Pennsylvania,63150
Puerto Rico,≤100
Rhode Island,3165
South Carolina,31751
South Dakota,2414
Tennessee,26140
Texas,99937
Unknown,129
Utah,13146
Vermont,1972
Virgin Islands (U.S.),≤100
Virginia,31546
Washington,25328
"Washington, District of Columbia",9874
West Virginia,8450
Wisconsin,26273
Wyoming,1871
