Location name,Amount spent (INR)
Andaman and Nicobar Islands,148
Andhra Pradesh,52690
Arunachal Pradesh,809
Assam,13506
Bihar,169702
Chandigarh,1681
Chhattisgarh,73432
Dadra and Nagar Haveli,695
Delhi,39894
Goa,1261
Gujarat,45239
Haryana,31028
Himachal Pradesh,13026
Jammu and Kashmir,6623
Jharkhand,16121
Karnataka,83402
Kerala,21091
Lakshadweep,≤100
Madhya Pradesh,53275
Maharashtra,117900
Manipur,1051
Meghalaya,73109
Mizoram,521
Nagaland,573
Odisha,9597
Puducherry,1730
Punjab region,31291
Rajasthan,164205
Sikkim,831
Tamil Nadu,45064
Telangana,27776
Tripura,8265
Unknown,≤100
Uttar Pradesh,105360
Uttarakhand,17591
West Bengal,38849
