Location name,Amount spent (AUD)
Australian Capital Territory,1043
Jervis Bay Territory,≤100
New South Wales,19720
Norfolk Island,≤100
Northern Territory,600
Queensland,14957
South Australia,4103
Tasmania,3297
Unknown,≤100
Victoria,20103
Western Australia,8114
