Location name,Amount spent (EUR)
Alsace,397
Aquitaine,947
Auvergne,273
Basse-Normandie,275
Bourgogne,361
Bretagne,694
Centre,591
Champagne-Ardenne,250
Corse,≤100
Franche-Comté,204
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,373
Languedoc-Roussillon,775
Limousin,160
Lorraine,496
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,716
New Caledonia,≤100
Nord-Pas-de-Calais,722
Pays de la Loire,737
Picardie,371
Poitou-Charentes,431
Provence-Alpes-Côte d'Azur,1532
Reunion Island,≤100
Rhône-Alpes,1623
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,125
Wallis and Futuna,≤100
Île-de-France,2928
