Location name,Amount spent (ZAR)
Eastern Cape,1263
Free State,535
Gauteng,4538
KwaZulu-Natal,1628
Limpopo,488
Mpumalanga,538
North West,453
Northern Cape,206
Unknown,≤100
Western Cape,7883
