Location name,Amount spent (JPY)
Aichi Prefecture,34189
Akita Prefecture,3251
Aomori Prefecture,3621
Chiba Prefecture,30731
Ehime Prefecture,4684
Fukui Prefecture,6483
Fukuoka Prefecture,41398
Fukushima Prefecture,6069
Gifu Prefecture,11489
Gunma Prefecture,6816
Hiroshima Prefecture,11855
Hokkaido,22704
Hyōgo Prefecture,24241
Ibaraki Prefecture,10709
Ishikawa Prefecture,5540
Iwate Prefecture,3884
Kagawa Prefecture,5145
Kagoshima Prefecture,4919
Kanagawa Prefecture,63435
Kumamoto Prefecture,9968
Kyoto Prefecture,16531
Kōchi Prefecture,2202
Mie Prefecture,7374
Miyagi Prefecture,15536
Miyazaki Prefecture,4413
Nagano Prefecture,9520
Nagasaki Prefecture,6781
Nara Prefecture,5540
Niigata Prefecture,7450
Okayama Prefecture,16206
Okinawa Prefecture,10389
Osaka Prefecture,40394
Saga Prefecture,4607
Saitama Prefecture,42118
Shiga Prefecture,6652
Shimane Prefecture,2835
Shizuoka Prefecture,14891
Tochigi Prefecture,6354
Tokushima Prefecture,3010
Tokyo,120338
Tottori Prefecture,1911
Toyama Prefecture,3879
Unknown,≤100
Wakayama Prefecture,5624
Yamagata Prefecture,4033
Yamaguchi Prefecture,5063
Yamanashi Prefecture,3889
Ōita Prefecture,7862
