Location name,Amount spent (PKR)
Azad Kashmir,1727
Balochistan,3772
Federally Administered Tribal Areas,488
Gilgit-Baltistan,1183
Islamabad Capital Territory,4400
Khyber Pakhtunkhwa,17335
Punjab,42369
Sindh,22045
Unknown,≤100
